Start Time,End Time,Text
00:00:09.830,00:00:10.764,>> SOME OF THE GIRLS
00:00:10.831,00:00:11.765,HAD TROUBLE
00:00:11.832,00:00:12.766,ADJUSTING TO ROOMMATE RENEE.
00:00:12.834,00:00:13.768,">> THERE IS, LIKE,"
00:00:13.835,00:00:14.769,TONS OF OTHER GIRLS
00:00:14.836,00:00:15.770,WHO WOULD DIE TO BE HERE
00:00:15.837,00:00:16.771,FOR MODELING.
00:00:16.838,00:00:17.237,>> I AM.
00:00:17.303,00:00:18.238,>> DON'T GET DEFENSIVE.
00:00:18.304,00:00:19.239,>> JASLENE DIDN'T MAKE THE CUT
00:00:19.305,00:00:20.240,IN CYCLE 7.
00:00:20.306,00:00:21.241,>> (singsong voice) I'M BACK!
00:00:21.307,00:00:23.109,>> (laughs)
00:00:23.176,00:00:24.110,BUT SHE WAS
00:00:24.177,00:00:25.111,A TOUGH ACT TO FOLLOW
00:00:25.178,00:00:26.179,AT THE FIRST PHOTO SHOOT.
00:00:26.246,00:00:27.514,>> THANK YOU. WELL DONE.
00:00:27.580,00:00:28.515,>> AS EVERYONE ELSE
00:00:28.581,00:00:29.516,STRUGGLED TO KEEP UP...
00:00:29.582,00:00:30.517,>> REALLY BELIEVE IT
00:00:30.583,00:00:31.518,"FOR THAT SPLIT MOMENT,"
00:00:31.584,00:00:32.519,REALLY GIVE IT TO ME.
00:00:32.585,00:00:33.520,">> KATHLEEN WAS LOST,"
00:00:33.586,00:00:34.521,AND IT SHOWED IN HER PHOTO.
00:00:34.587,00:00:35.522,>> YOU DIDN'T
00:00:35.588,00:00:36.523,COMPLETELY UNDERSTAND
00:00:36.589,00:00:37.524,THE CONCEPT.
00:00:37.590,00:00:38.525,">> I KNOW, RIGHT?"
00:00:38.591,00:00:39.526,">> AND IN THE END,"
00:00:39.592,00:00:40.493,SHE WAS THE FIRST GIRL
00:00:40.560,00:00:41.494,SENT HOME.
00:00:41.561,00:00:42.495,">> BYE, GUYS."
00:00:42.562,00:00:43.496,>> 12 GIRLS REMAIN.
00:00:43.563,00:00:46.566,WHO WILL BE ELIMINATED TONIGHT?
00:00:48.268,00:00:49.502,>> ♪  YOU WANT TO BE ON TOP? ♪
00:00:49.569,00:00:53.106,♪ ♪ ♪
00:01:29.776,00:01:31.978,♪ ♪ ♪
00:01:32.045,00:01:33.046,>> I MISS KATHLEEN.
00:01:35.281,00:01:36.750,(phone ringing)
00:01:36.816,00:01:37.751,>> HELLO?
00:01:37.817,00:01:38.785,>> How was your day?
00:01:38.852,00:01:41.154,">> OH, MY GOD, MOM, THE BOMB."
00:01:41.221,00:01:42.155,>> Ah!
00:01:42.222,00:01:43.156,>> I CAME ON TOP.
00:01:43.223,00:01:44.157,"LAST TIME IN PANEL,"
00:01:44.224,00:01:46.192,"MY NAME WAS CALLED FIRST,"
00:01:46.259,00:01:48.728,AND I WAS SO HAPPY.
00:01:48.795,00:01:49.729,>> CONGRATULATIONS.
00:01:49.796,00:01:50.964,>> THANK YOU SO MUCH.
00:01:51.030,00:01:52.565,THE POSITIVE FEEDBACK
00:01:52.632,00:01:54.200,THAT I GOT TODAY
00:01:54.267,00:01:57.170,WAS SO GOOD.
00:01:57.237,00:01:58.605,">> WELL, THE CAMERA LOVES YOU."
00:01:58.671,00:01:59.773,>> IT'S SOMETHING EXTRA SPECIAL.
00:01:59.839,00:02:01.174,">> THANK YOU, GUYS, SO MUCH."
00:02:01.241,00:02:02.175,I'M FIERCE.
00:02:02.242,00:02:03.176,I'M HERE FOR A REASON.
00:02:03.243,00:02:04.210,WHEN I'M IN MY OWN ZONE
00:02:04.277,00:02:05.378,"AND I'M FOCUSED,"
00:02:05.445,00:02:07.747,THAT'S WHEN I PERFORM THE BEST.
00:02:07.814,00:02:08.748,>> AND THEN YOU JUST BACK OFF.
00:02:08.815,00:02:09.749,>> (laughs)
00:02:09.816,00:02:10.750,(speaking gibberish)
00:02:10.817,00:02:11.751,>> (laughs)
00:02:11.818,00:02:12.752,>> I'M PRETTY MUCH
00:02:12.819,00:02:13.753,"A COUNTRY GIRL,"
00:02:13.820,00:02:14.754,AND THESE GIRLS ARE JUST--
00:02:14.821,00:02:15.755,SOME OF 'EM ARE CRAZY.
00:02:15.821,00:02:16.755,">> DETROIT, Y'ALL!"
00:02:16.823,00:02:17.757,">> WHAT, WHAT?"
00:02:17.824,00:02:18.758,">> WHAT, WHAT?"
00:02:18.825,00:02:20.527,>> I LIKE TO KEEP TO MYSELF
00:02:20.593,00:02:21.528,WHENEVER I'M STRESSED
00:02:21.594,00:02:22.529,AND WRITE IN A NOTEBOOK
00:02:22.595,00:02:24.264,AND KINDA RELEASE MY FEELINGS
00:02:24.330,00:02:25.498,"THAT WAY, OR TALK ON THE PHONE"
00:02:25.565,00:02:26.499,TO MY FAMILY MEMBERS.
00:02:26.566,00:02:27.500,>> How you doing?
00:02:27.567,00:02:28.501,>> (voice breaks) I'M OKAY.
00:02:28.568,00:02:29.836,I JUST REALLY MISS Y'ALL.
00:02:29.903,00:02:31.337,">> It'll be all right, okay?"
00:02:31.404,00:02:32.372,"You'll have a good time,"
00:02:32.438,00:02:33.907,which is--that's the main thing.
00:02:33.973,00:02:35.275,Don't forget who you are.
00:02:35.341,00:02:37.043,">> (coughs) OKAY, I WILL. I'M..."
00:02:37.110,00:02:38.044,>> (chuckles)
00:02:38.111,00:02:39.579,>> I'LL NEVER FORGET WHO I AM.
00:02:39.646,00:02:41.047,I DON'T KNOW IF I FIT IN.
00:02:41.114,00:02:42.715,"TO ME, I SEEM REALLY DIFFERENT"
00:02:42.782,00:02:43.750,THAN THE OTHER GIRLS.
00:02:43.817,00:02:45.018,BUT I WANNA SEE MYSELF
00:02:45.084,00:02:46.052,ON THE COVER OF A MAGAZINE.
00:02:46.119,00:02:47.487,I WANNA BE ON THAT CATWALK.
00:02:47.554,00:02:49.022,GOOD NIGHT.
00:02:49.088,00:02:50.190,>> TYRA MAIL!
00:02:50.256,00:02:51.191,"""BABIES LEARN HOW TO DO IT."
00:02:51.257,00:02:52.192,CAN YOU?
00:02:52.258,00:02:53.860,"LOVE, TYRA."""
00:02:53.927,00:02:54.861,>> WALK.
00:02:54.928,00:02:55.862,>> WALK.
00:02:55.929,00:02:56.863,>> WALK.
00:02:56.930,00:02:57.864,">> OH, WALK!"
00:02:57.931,00:02:59.165,>> WALK!
00:02:59.232,00:03:02.368,♪ ♪ ♪
00:03:07.740,00:03:08.675,>> I'M VERY CONFUSED
00:03:08.741,00:03:09.676,AT THIS POINT.
00:03:09.742,00:03:10.677,"I'M LIKE, WHAT ARE WE DOING"
00:03:10.743,00:03:11.678,"AT A HIGH SCHOOL, RIGHT?"
00:03:11.744,00:03:14.747,(drums playing)
00:03:14.814,00:03:16.149,>> I KINDA GLANCE OVER...
00:03:16.216,00:03:17.483,"MISS J. IS STANDING UP THERE,"
00:03:17.550,00:03:18.885,AND SO HE HAS ON HIS LITTLE--
00:03:18.952,00:03:19.886,WHATEVER KIND OF HAT
00:03:19.953,00:03:22.956,THAT WAS.
00:03:27.560,00:03:28.494,>> YEAH!
00:03:28.561,00:03:29.495,">> WELCOME, LADIES."
00:03:29.562,00:03:30.496,I'VE BROUGHT YOU HERE
00:03:30.563,00:03:31.497,THIS MORNING
00:03:31.564,00:03:32.498,TO SEE THIS WONDERFUL
00:03:32.565,00:03:33.499,"MARCHING BAND,"
00:03:33.566,00:03:35.401,"WHO IS KNOWN FOR THEIR TIMING,"
00:03:35.468,00:03:37.637,PRECISION AND CHOREOGRAPHY.
00:03:37.704,00:03:39.639,"AND SOMETIMES ON THE CATWALK,"
00:03:39.706,00:03:41.507,YOU NEED TO BE PRECISE.
00:03:41.574,00:03:43.643,TODAY I WOULD LIKE TO SEE
00:03:43.710,00:03:46.145,JUST HOW PRECISE YOUR WALKS ARE.
00:03:46.212,00:03:48.281,"SO, GIRLS, GO GET CHANGED."
00:03:48.348,00:03:51.751,IT'S TIME FOR CLASS.
00:03:51.818,00:03:54.654,♪ ♪ ♪
00:03:54.721,00:03:57.257,>> (laughs)
00:03:57.323,00:03:58.491,>> I SEE MISS J.--
00:03:58.558,00:04:00.159,IT'S WHAT I THINK IS MISS J.--
00:04:00.226,00:04:01.327,SO I'M LAUGHING AT THIS POINT.
00:04:01.394,00:04:02.328,IT'S JUST KIND OF HYSTERICAL
00:04:02.395,00:04:03.329,TO ME.
00:04:03.396,00:04:04.330,>> DO YOU KNOW WHY YOU'RE HERE?
00:04:04.397,00:04:05.331,>> 'CAUSE WE'RE GONNA WALK.
00:04:05.398,00:04:06.399,">> THERE YOU GO, BABY."
00:04:06.466,00:04:07.400,AND I WANT YOU
00:04:07.467,00:04:09.035,TO WALK THIS WHITE LINE.
00:04:09.102,00:04:10.670,"GOT IT? HIT IT, MAMA."
00:04:12.672,00:04:13.706,"TAKE LONGER STEPS, SWEETHEART."
00:04:13.773,00:04:15.208,YOU NEED TO HAVE LONGER STEPS.
00:04:15.275,00:04:18.211,"YEAH, LET HER DO HER THING."
00:04:18.278,00:04:19.445,YOU WALK LIKE YOU'RE HOLDING
00:04:19.512,00:04:20.613,"TWO BAGS OF GROCERIES,"
00:04:20.680,00:04:22.814,'CAUSE YOUR ARMS STAY LIKE THIS.
00:04:22.882,00:04:24.783,OKAY? HIT IT.
00:04:27.787,00:04:28.721,"AND YOUR RIGHT ARM DOES MOVE,"
00:04:28.788,00:04:29.722,DOESN'T IT?
00:04:29.789,00:04:31.090,'CAUSE IT'S AS STIFF AS A BOARD.
00:04:31.157,00:04:32.091,">> I KNEW HE WAS GONNA SAY THAT,"
00:04:32.158,00:04:33.092,'CAUSE PEOPLE SAY THAT TO ME
00:04:33.126,00:04:34.060,ALL THE TIME.
00:04:34.127,00:04:35.595,"LIKE, IT JUST DOESN'T MOVE."
00:04:37.597,00:04:38.531,>> I DON'T KNOW
00:04:38.598,00:04:39.766,IF YOU'RE MARCHING OR WALKING.
00:04:39.832,00:04:41.301,>> MISS J.--HE SAID THAT
00:04:41.367,00:04:44.037,"I WALK LIKE I'M ""MARTIAN."""
00:04:44.103,00:04:45.505,I'M DOING GREAT.
00:04:47.507,00:04:49.008,">> YOU WALK ON YOUR HEELS A LOT,"
00:04:49.075,00:04:50.009,I SEE.
00:04:50.076,00:04:51.010,>> I'M A LITTLE BIT NERVOUS
00:04:51.077,00:04:52.011,AT THIS POINT
00:04:52.078,00:04:53.012,IN TRYING TO SHOW J.
00:04:53.079,00:04:54.213,"THAT I AM FIERCE IN, LIKE,"
00:04:54.280,00:04:55.682,A LITTLE GIRL'S SCHOOL UNIFORM.
00:04:59.686,00:05:00.620,>> YOU NEED
00:05:00.687,00:05:01.621,TO TAKE LONGER STEPS.
00:05:01.688,00:05:02.622,YOU DO.
00:05:02.689,00:05:03.623,"COME BACK AND DO IT AGAIN,"
00:05:03.690,00:05:04.624,JASLENE.
00:05:04.691,00:05:05.625,>> I DEFINITELY FOUND
00:05:05.692,00:05:07.660,"HIS SUGGESTIONS VERY HELPFUL,"
00:05:07.727,00:05:08.661,"BUT, YOU KNOW, THIS IS WHO I AM."
00:05:08.728,00:05:09.662,I KNOW I STAND OUT
00:05:09.729,00:05:11.264,ONCE I WALK ON THE RUNWAY.
00:05:11.331,00:05:12.265,>> THANK YOU.
00:05:12.332,00:05:13.433,>> LITTLE MISS CHA-CHA DIVA--
00:05:13.499,00:05:14.434,"SHE DIDN'T GET, LIKE,"
00:05:14.500,00:05:15.435,ALL THE PRAISE
00:05:15.501,00:05:16.903,THAT SHE WAS EXPECTING TO GET.
00:05:16.970,00:05:20.673,(jet engines roaring)
